offset,modbus_address,name,value,count,type,size,scale_factor,units,rw_access,mandatory,static,label,description
1000' | 988,41298,CellV,,,uint16,,CellV_SF | Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
1001 | 989,41299,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
1002 | 990 | 991 | 992,41300,CellV,,,bitfield32,,CellV,,,,,Cell Voltage,Cell terminal voltage
1 coy | •—993 | 992 | 994,41304,CellV,,,bitfield32,,Imp _ Sf,c,,,,Cell Voltage,Cell terminal voltage
1007 | 995,41305,,,,,,,,,,,Cell Voltage,Cell terminal voltageS0
996 | 997,41306,CellV,,,int16,,Tmp_SF,,c,,,Cell Voltage,Cell terminal voltage
1001,41311,Cellimp,,,int16,,Tmp_SF,,,,,Cell Temperature,Cell temperature51
,41312,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1004,41314,CellV,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal voltage
1005,41315,CellTmp,,,int16,,Tmp_SF,,,,,Cell Temperature,Cell temperature
1006 | 1066,41316,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1007,41317,I i thium-ion-module,,,4 | group,,,,,,,Lithium-lon Module Model,
1008,41318,ID,,,uint16,1,,,,S,,Model ID,Model identifier
1009,41319,L,,,uint16,,,,,,,Model Length,Model length
1011,41321,i Mod,,,uint16,,,,,,,Module Index,Index of the module within the strine
1012,41322,NCell,,,uint16,1,,,,,,Module Cell Count,Count of all cells in the module
1013,41323,,,,uint16,,SOC SF,,,,,Module SoC,"Module state of charge, expressed assa percentage"
1014,41324,DoD,,,uint16,1,DoD SF,,,,,Depth of Discharge,I Depth of discharge for the module
1015,41325,,,,uint16,1,SoH SF,,,,,Module SoH,Module state of health. expressed as a percentage
1018,41328,v,,,uint16,1,,,,,,Module Voltage,Voltage of the module
1019,41329,CellV,,,uint16,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
1020,41330,CellV,,,uint16,1,,,,,,Cell Voltage,Cell terminal voltage
1021,41331,CellV,,,uint16,1,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
1022,41332,CellV,,,uint16,1,,,,,,Cell Voltage,Cell terminal voltage
1023,41333,cell IVA,,,uint16,1,cellV_SF,,,,,Average Cell Voltage,Average voltage for all cells in the module
1024,41334,CellTmp,,,int16,1,Tmp_SF,c,,,,Cell Temperature,Cell temperature
1025,41335,CellTmp,,,uint16,1,,,,,,Cell Temperature,Cell temperature
1026,41336,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
1027,41337,CellTmp,,,uint16,1,,,,,,Cell Temperature,Cell temperature
1028,41338,cell IT,,,int16,1,Tmp_SF,c,,,,Average Cell Temperature,Average temperature for all cells in the module
1029,41339,NCellBal,,,uint16,1,,,,,,Balanced Cell Count,Number of cells currently being balanced in the module
1030,41340,,,,strjng,16,,,,,,Serial Number,Serial number for the module
1059 | 1046,41356,SoC_SF,,,,1,,,,,,,Scale factor for module state of charge
1060 | 1047,41357,SoH_SF,,,sunssf,1,,,,,,,%ale factor for module state of health
1048,41358,DoD_SF,,,nssf,1,,,,,,,Scale for module depth of discharge
1063 | toso,41360,CellV,,,sunssf,1,,,,,,Cell Voltage,Cell terminal voltage
1066 | 1052,41362,CellV,,,uint16,,CellV,,,,,Cell Voltage,Cell terminal voltage
1067 | 1053,41363,CellTmp,,,int16,,Tmp_SF,,,,,Cell Temperature,Cell temperature
1068 | 1054,41364,censt,,,bitfield32,,,,,,,Cell' Status,Status of me celli
1070 | 1056,41366,CellV,,,uint16,,CellV,,,,,Cell Voltage,Cell terminal voltage
1071 | 1057,41367,CellTmp,,,int16,,Tmp_SF,,,,,Cell Temperature,Cell temperature
1072 | 1058,41368,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1074 | 1060,41370,CellV,,,uint16,,CellV Sf,,,,,Cell Voltage,Cell terminal voltage
1075 | 1061,41371,CellTmp,,,int16,,Tmp_Sf,c,,,,Cell Temperature,Cell temperature
1076 | 1062,41372,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1078 | 1064,41374,CellV,,,uint16,,CellV_SF,v,,,,Cell Voltage,Cell terminal voltage
10792 | 1065,41375,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
1082 | 1068,41378,CellV,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal voltage
1083 | 1069,41379,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
1084 | 1070,41380,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1072,41382,CellV,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal voltage
1088 | 1074,41384,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
10921 | 1078,41388,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
10937 | 1079,41389,,,,,,,,,,,Cell Volt ce,Cell tern-unai voltage8
1094 | 1080,41390,CellV,,,uint16,,CellV Sf | Tmp_Sf,c,,,,Cell Voltage,Cell terminal voltage
1096 u,41392,CellTmp,,,bitfield32,,,,,,,Cell Temperature,Cell temperature
1097,41393,,,,,,,,,,,Cell voltage,Cell terminal voltage9
10B,41394,CellV,,,uint16,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage
,41395,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
noo- | 1086,41396,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1100,41410,CellV,,,uint16,,CellV,,,,,Cell Voltage,Cell terminal voltage
1101,41411,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
1102,41412,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1104,41414,Ceuv,,,uint16,,CellV SF,,,,,Cell Voltage,Cell terminal witage14
110S,41415,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
1106,41416,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1108,41418,CellV,,,uint16,,cellV SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1109,41419,Cell Tmp,,,int16,,Tmp_SF,c,,' Cel I Temperatwe,,,Cell temperaturei5
1110,41420,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1112,41422,CellV,,,uint16,,CellV SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1113,41423,cell ITmp,,,int16,,Tmp_SF,c,,Cell Temperature,,,Cell temperature16
1114,41424,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1116,41426,CellV,,,uint16,,CellV_SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1117,41427,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
1118,41428,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1120,41430,CellV,,,uint16,,cellV_sF,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
1121,41431,CellTmp,,,int16,,Tmp_Sf,c,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
1122,41432,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1124,41434,CellV,,,uint16,,CellV SF,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
1125,41435,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
1126,41436,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1128,41438,CellV,,,uint16,,CellV SF | Tmp_SF,c,,Cell Temperature,,Cell Voltage,Cell terminal voltage
1129,41439,CellTmp,,,int16,,Tmp_SF,c,,Cell Status,,Cell Temperature,Cell temperature
1130,41440,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1131,41441,,,,,,CellV SF,,,,,Cell Voltage,Cell terminal voltage21
1132,41442,CellV,,,uint16,,CellV SF | Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
1133,41443,CellTmp,,,int16,,Tmp_SF,c,,,,Cell Temperature,Cell temperature
1134,41444,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1135,41445,,,,,,CellV_SF,,,,,Cell Voltage,Cell terminal voltaee22
1136,41446,CellV,,,uint16,,CellV_SF | Tmp_Sf,c,,,,Cell Voltage,Cell terminal voltage
,41447,CellTmp,,,int16,,Tmp_Sf,c,,,,Cell Temperature,Cell temperature
1138,41448,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1139,41449,,,,,,CellV_SF,,,,,Cell Voltage,Cell terminal voltage23
1140,41450,CellV,,,uint16,,CellV_SF | Tmp_SF,c,,,,Cell Voltage,Cell terminal voltage
1141 | 1142,41452,CellSt,,,bitfield32,,,,,: Cell Status,,Cell Status,Status of the cell
,41454,CellV,,,uint16,,CellV_SF,c,,— Celil emoerature—,,Cell Voltage,Cell terminal voltage
1146,41456,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1148,41458,CellV,,,uint16,,,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
,41459,CeliTmp,,,int16,,Tmp_SF,,,Cell Ternperatue,,,Cell temperature25
1150,41460,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1152,41462,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1153,41463,CellTmp,,,int16,,Tmp_SF,c,,Cell Ternperature,,Cell Temperature,Cell temperature
,41464,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1156,41466,CetiV,,,uint16,,,v,,Cell Voltage,,,Cell terminal Atage27
1157,41467,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
1158,41468,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1160,41470,Ceuv,,,uint16,,,,,Cell Voltage,,,Cell terrmnal Oltage28
1161,41471,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
1164,41474,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1165,41475,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
,41476,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1168,41478,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
u 69,41479,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
1170,41480,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1172,41482,CellV,,,uint16,,,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1173,41483,CellTmp,,,int16,,Imp _ SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
u 74,41484,CellSt,,,bitfield32,,,,,ICelI Status,,Cell Status,Status of the cell
,41486,CellV,,,uint16,,,v,,'Cell Voltage,,Cell Voltage,Cell terminal voltage
1177,41487,CellTmp,,,int16,,Tmp_SF,c,,Celi Temperature,,Cell Temperature,Cell temperature
1178,41488,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
,41490,CellV,,,uint16,,,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1187,41491,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
1182,41492,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
,41494,CellV,,,uint16,,Tmp_SF,c,,Cen Voltage,,Cell Voltage,Cell terminal voltage
1186,41496,CellTmp,,,int16,,Tmp_SF,c,,ocell Temperature | 'Cell Status,,Cell Temperature,Cell temperature
,41498,CellV,,,uint16,,,v,,Cen Vonage,,Cell Voltage,Cell terminal voltage
,41499,vCeilTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,,Cell temperature35
1192,41502,CellV,,,int16,,CellV SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
,41503,ITmp,,,int16,,Tmp_Sf,,,Cell Temperatwe,,,Cell temperature36
,41504,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1196,41506,CellV,,,int16,,CellV | SF,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1197,41507,CellTmp,,,int16,,Tmp_SF,,,Cel I Temperature,,Cell Temperature,Cell temperature
1198,41508,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1200,41510,CellV,,,int16,,CellV Sf,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1201,41511,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
1202,41512,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1204,41514,CellV,,,uint16,,CellV SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1205,41515,CellTmp,,,int16,,Tmp_SF,c,,Cel I Temperature,,Cell Temperature,Cell temperature
1206,41516,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1208,41518,CellV,,,uint16,,CellV_SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1209,41519,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
1210,41520,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1212,41522,CellV,,,int16,,CellV_SF,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1213,41523,cell IT mp,,,int16,,Tmp_SF,c,,Cen Temperature,,,Cell temperature41
1214,41524,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1216,41526,CellV,,,uint16,,CellV SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1217,41527,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature,,Cell Temperature,Cell temperature
1218,41528,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1220,41530,CellV,,,uint16,,CellV_SF,,,ocell Voltage,,Cell Voltage,Cell terminal voltage
1221,41531,Cell T mp,,,int16,,Tmp_SF,c,,vCell Temperature,,,Cell temperature43 | Status of the cell 143
1222,41532,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1224,41534,CellV,,,uint16,,cellV_SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
,41535,CellTmp,,,int16,,Tmp_Sf,c,,cCeIl Temperature,,Cell Temperature,Cell temperature
1226,41536,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1228,41538,CellV,,,uint16,,CellV,v,,'Cell Temperature _lCell temperature4S | Cell Voltage,,Cell Voltage,Cell terminal voltage
1229,41539,Cell T mp,,,int16,,Tmp_SF,c,,'Cell Temperature _lCell temperature4S,,,Status of the ce1145
1230,41540,CellSt,,,bitfield32,,,,,Icen Status,,Cell Status,Status of the cell
1232,41542,CellV,,,uint16,,CellV_SF,v,,cell Voltage,,Cell Voltage,Cell terminal voltage
1234,41544,CellSt,,,bitfield32,,,,,cell Status,,Cell Status,Status of the cell
,41545,i Addressing | 802 | 804 | 805,,,,,,,,,,,
1236,41546,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1237,41547,CellTmp,,,int16,,,c,,Cell Temperatue,,Cell Temperature,Cell temperature
1238,41548,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1239 | 1240,41549,CellV,,,uint16,,,,,,,Cell Voltage,Cell terminal voltage
1240 | 1241,41551,CellV,,,uint16,,,c,,Cell Temperature | Cell Voltage,,Cell Voltage,Cell terminal voltage
1242,41552,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1244 | 1245,41554,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1245 | 1246 | 1247,41556,CellSt,,,bitfield32,,,c,,Cell Temperature | Cel Status,,Cell Status,Status of the cell
1247 | 1248,41558,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1249,41559,CellTmp,,,int16,,,c,,Cell Temperature,,Cell Temperature,Cell temperature
1250,41560,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1252,41562,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1253,41563,CellTmp,,,int16,,,c,,Cell Temperature,,Cell Temperature,Cell temperature
1254,41564,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1256,41566,CellV,,,uint16,,,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1257,41567,cell ITmp,,,int16,,,c,,Cell Temperature,,Cell temperature52,
1258,41568,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1259,41569,lithium-ion-mooule,5,,group,,,,,j Lithium-lon Module Model,,,
1260,41570,ID,805,,group | utnti6,,,,,S,,Model ID,Model identifier
1261,41571,L,,,uint16,,,,,S,,Model Length,Model length
,41572,Stridx,,,uint16,,,,,String Index,,Index of the string containing the module,
1263,41573,Modldx,,,uint16,,,,,Module Inoex,,Index of the module witrun the strrng,
1264,41574,NCell,,,uint16,,,,,Module Cell Count,,-Count of cens n the moauje,
1265,41575,,,,uint16,,,,,Module SoC,,Moaule state of cnarge. expressed as a percentage,
1266 | 1267,41576,Doo | SoH,,,uint16,,,,,- Module SoH | Depth ot Discnarge,,Module state of health. expressed as a percentage | Depth of discharge for the module,
1267 | 1268,41578,SoH | NCvc,,,uint16,,,,,C'ßle Count,,Count oiQtes execute;-,
1269,41579,,,,,,,,,Module Voltage,,Voltage of the module,
1271,41581,CellV,,,uint16,,,v,,Max Cell Volta'e | Max Cell Voltage Cen,,Cell Voltage,Cell terminal voltage
-4 | 1272,41582,CellV,,,uint16,,,,,Max Cell Voltage Cen | Min Cen Vott•ze Cell | Cell Voltage,,Cell Voltage,Cell terminal voltage
1275,41585,CellV,,,uint16,,,v,,I Max Cell Temperature | Average Cen Vonage | Min Cen Vott•ze Cell,,Cell Voltage,Cell terminal voltage
L—P76,41586,CellTmp,,,int16,,,c,,I Max Cell Temperature | Cen Temperature Cen,,Cell Temperature,Cell temperature
1277,41587,CellTmp,,,uint16,,,,,Mun Cell Temperature,,Cell Temperature,Cell temperature
1278,41588,CellTmp,,,int16,,,c,,,,Cell Temperature,Cell temperature
1279,41589,CellTmp,,,int16,,,,,,,Cell Temperature,Cell temperature
120 | 1281,41590,Cell TmpA .g,,,uint16,,,c,,Min Cell Temperature Cen,,,Cell with the minimum cell temperature
1282,41592,NCellBal,,,uint16,,,,,Average Cell Temperanze | Balanced Cell Count,,Frage temperature for all cells in the module,Of cens currently being balanced in the module
128.3,41593,,,,string,,,,,Serial Number,,Senat number for the module,s
1298,41608,SOC SF,,,sunssf,,,,,,,,
1299,41609,SoH SF,,,sunssf,,,,,,,Scale factor for module state of charge,
1300,41610,DoO_SF,,,sunssf,,,,,,,Scale factor for module state of health,
1301 | 1307,41611,,,,sunssf,,,,,Cell Status,,Kale factor tor module depth of discharge | Status of the celll,
1302,41612,CellV,,,sunssf,,,,,,,Cell Voltage,Cell terminal voltage
1303,41613,Tmp_SF,,,sunssf,,,,,,,I Scale tactor for module temperature | Scale tactor for cell voltage,
1304,41614,CellV,5,,uint16,,,,,,,Cell Voltage,Cell terminal voltage
1305,41615,CellTmp,,,int16,,,,,Cell Voltage,,Cell Temperature,Cell temperature
1306 | 138/ | *366,41616,CellSt,,,bitfield32,,,,,Cell Temperature,,Cell Status,Status of the cell
1308,41618,CellV,,,uint16,,,v,,,,Cell Voltage,Cell terminal voltage
1309,41619,CellTmp,,,int16,,,c,,Cell Voltage,,Cell Temperature,Cell temperature
1310,41620,CellSt,,,bitfield32,,,,,-Cell Temperature,,Cell Status,Status of the cell
1311,41621,,,,,,,,,Cell Status,,Status of the ce112,
1312,41622,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1313,41623,CellTmp,,,int16,,,c,,Cell Temperature | Cell Voltage,,Cell Temperature,Cell temperature
1314,41624,CellSt,,,bitfield32,,,,,Cen Status | Cell Temperature,,Cell Status,Status of the cell
,41626,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1318,41628,CellSt,,,bitfield32,,,,,'Cen Status | Cell Temperature,,Cell Status,Status of the cell
1319,41629,,,,,,,,,,,Status of the cell'4,
1320,41630,CellV,,,uint16,,,,,fell Voltage,,Cell Voltage,Cell terminal voltage
1321 | 1327,41631,CellTmp,,,int16,,,c,,fell Voltage | Setl Temperature | Cell Voltage,,Cell Temperature,Cell temperature
", 1322",41632,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1324,41634,CellV,,,uint16,,,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
1325,41635,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
1326,41636,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1329,41639,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
1330,41640,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1332,41642,CellV,,,uint16,,cellV SF,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
1333,41643,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature | Cel Status,,Cell Temperature,Cell temperature
1334,41644,CellSt,,,bitfield32,,,,,Cel Status,,Cell Status,Status of the cell
1336,41646,CellV,,,uint16,,CellV_SF,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
1337,41647,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
1338,41648,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1340,41650,CellV,,,uint16,,CellV SF,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
1341,41651,CellTmp,,,int16,,Imp_SF,,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
1342,41652,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1344,41654,CellV,,,uint16,,CellV_SF,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
1345,41655,CellTmp,,,int16,,Tmp_SF,,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
1346,41656,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1348,41658,CellV,,,uint16,,CellV_SF,,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
1349,41659,CellTmp,,,int16,,Tmp_SF,c,,'Cell Status | Cell Temperature,,Cell Temperature,Cell temperature
1350,41660,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1351,41661,CetiTmp,,,int16,,Tmp_SF,c,,'Cell Voltage | •Cell Status,,,Cell terminal voltage13 | Status of the tel 114
1352,41662,CellV,,,uint16,,CellV_SF,c,,Cell Temperature,,Cell Voltage,Cell terminal voltage
1353,41663,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
1354,41664,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1356,41666,CellV,,,uint16,,CellV_SF | Tmp_SF,c,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
1358,41668,CellSt,,,bitfield32,,,,,•Cell Status,,Cell Status,Status of the cell
1360,41670,CellV,,,uint16,,CellV,c,,Cell Temperature,,Cell Voltage,Cell terminal voltage
,41671,sceliTmp,,,int16,,Tmp_SF,c,,Cell Temperature | Cell Status,,,Status of the ce111S
1362,41672,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1380 _,41674,CellV,,,uint16,,CellV Sf,v | c,,Cell Temperature,,Cell Voltage,Cell terminal voltage
1381 J,41675,CeilTmp,,,int16,,Tmp_SF,c,,Cell Status,,,Istatus of the ce1116
1368,41678,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1369,41679,CellTmp,,,int16,,,c,,Cel I Temperature,,Cell Temperature,Cell temperature
1370,41680,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1372,41682,CellV,,,uint16,,SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1373,41683,cell limp,,,int16,,,c,,Cell Ternperatwe,,,Cell temperature18
1374,41684,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1376,41686,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1377,41687,CellTmp,,,int16,,,c,,Cell Temperatue,,Cell Temperature,Cell temperature
1378,41688,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1380,41690,CellV,,,uint16,,,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1381,41691,CellTmp,,,int16,,,,,Cell Temperature,,Cell Temperature,Cell temperature
1382,41692,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1384,41694,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1385,41695,CellTmp,,,int16,,,c,,Cell Temperature,,Cell Temperature,Cell temperature
2386,41696,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1388,41698,CellV,,,uint16,,,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1389,41699,CellTmp,,,int16,,,c,,Cell Temperature,,Cell Temperature,Cell temperature
1390,41700,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1393,41703,CellTmp,,,int16,,,,,iCell Temperature,,Cell Temperature,Cell temperature
1394,41704,CellSt,,,bitfield32,,,,,ocell Status,,Cell Status,Status of the cell
1396,41706,CellV,,,uint16,,,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1397,41707,Cell T mp,,,int16,,,c,,Cell Temperature,,,I Cell temperature24
1398,41708,CellSt,,,bitfield32,,,,,Cen Status,,Cell Status,Status of the cell
1399,41709,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1401,41711,CellV,,,int16,,,c,,Cell Temperature,,Cell Voltage,Cell terminal voltage
,41714,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1405,41715,Cell Tmp,,,int16,,,c,,Cell Temperature,,,Cell temperature26
1466 | 1467,41716,CellSt,,,bitfield32,,,,,,,Cell Status,Status of the cell
1409. 41719,41720,CellTmp,,,bitfield32,,,,,vCell Status,,Cell Temperature,Cell temperature
1413,41723,CellTmp,,,int16,,,,,Cell Temperature,,Cell Temperature,Cell temperature
1414,41724,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1416,41726,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1417,41727,CellTmp,,,int16,,Tmp_Sf,,,Cell Temperature,,Cell Temperature,Cell temperature
1418 | 1419,41728,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1419 | 1420,41730,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1421,41731,cell limp,,,int16,,T m p _ SF,c,,Cell Temperature,,,Cell temperature30
1422,41732,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1424,41734,CellV,,,uint16,,,,,Celt Voltage,,Cell Voltage,Cell terminal voltage
1425,41735,CellTmp,,,int16,,Tmp_SF,,,Cell Temperature,,Cell Temperature,Cell temperature
1426,41736,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
1428,41738,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
1429,41739,Cell Tmp,,,int16,,Tmp_SF,,,Cell Temperature,,,Cell temperature32
