offset,modbus_address,name,value,count,type,size,scale_factor,units,rw_access,mandatory,static,label,description
199 | 193 | 194,40503,CellTmp,,,int16,,Tmp_SF,c,-M,Cell Voltage | Cell Temperature,,Cell Temperature,Cell temperature
201 | 202 | 194 | 195 | 196,40505,CellV,,,bitfield32,,,,,Cell Status,,Cell Voltage,Cell terminal voltage
202 | 204 | 196 | 197 | 198,40507,CellV,,,int16,,CellV SF | Tmp_SF,c,,Cell Vonage | Cell Temperature,,Cell Voltage,Cell terminal voltage
204 | 205 | 198 | 199,40509,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
,40510,CellV,,,int16,,CellV Sf,,,Cell Voltage | Cwle Count | Depth of Discharge | Module SoH | Module Cell Count | Module,,Cell Voltage,Cell terminal voltage
,40511,CellTmp,,,int16,,Tmp_SF,c,,Cell Temperature | Cell Voltage,,Cell Temperature,Cell temperature
208' | 202,40512,CellSt,,,bitfield32,,,,,Sell Status | Cell Temperature,,Cell Status,Status of the cell
210,40514,CellV,,,uint16,,CellV SF,,,Cell Vonage,,Cell Voltage,Cell terminal voltage
211 i | 20s,40515,CellTmp,,,int16,,Tmp_SF,c,,Cen Temperature | Cell Vonage,,Cell Temperature,Cell temperature
,40516,CellSt,,,bitfield32,,,,,Cen Temperature | Cen Status,,Cell Status,Status of the cell
208,40518,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
,40519,CellTmp,,,int16,,,,,Cell Temperature,,Cell Temperature,Cell temperature
210 | 211 | 212,40520,CellSt,,,bitfield32,,,,,Cell Status | Cell Voltage,,Cell Status,Status of the cell
217,40521,CellTmp,,,int16,,,,,Cell Temperature,,Cell Temperature,Cell temperature
212 | 213 | 214 | 215,40524,CellTmp,,,int16,,c,,,Cell Status | Cell Temperature | Cell Voltage,,Cell Temperature,Cell temperature
215 | 216,40526,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
218,40528,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
219 | 220 | 221 | 222 | 223,40529,CellV,,,int16,,c,,,Cell Temperature | Cell Status | Cell Voltage,,Cell Voltage,Cell terminal voltage
223 | 224 | 225 | 226 | 227 | 228,40537,CellV,,,bitfield32,,c,,,Cell Voltage | Cell Temperature | Cell Status,,Cell Voltage,Cell terminal voltage
228 | 229 | 230,40539,CellTmp,,,bitfield32,,c,,,Cell Voltage | Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
230 | 231 | 232 | 233,40541,CellV,,,bitfield32,,c,,,Cell Voltage | Cell Temperature | Cell Status,,Cell Voltage,Cell terminal voltage
233 | 234 | 235 | 236,40545,CellV,,,uint16,,v | c,,,Cell Temperature | Cell Status,,Cell Voltage,Cell terminal voltage
236 | 237 | 238 | 239,40547,CellV,,,bitfield32,,v | c,,,Cell Voltage | Cell Temperature | Cen Status,,Cell Voltage,Cell terminal voltage
240 | 241 | 242,40552,CellV,,,bitfield32,,v | c,,,Cell Voltage | Cell Temperature | Cell Status,,Cell Voltage,Cell terminal voltage
,40554,CellV,,,uint16,,,,,JCelI Voltage,,Cell Voltage,Cell terminal voltage
,40555,CellTmp,,,int16,,c,,,.Cell Temperature,,Cell Temperature,Cell temperature
